Date,regime
2023-03-28,Crisis
2023-03-29,Crisis
2023-04-03,Crisis
2023-04-06,Crisis
2023-04-10,Crisis
2023-04-11,Crisis
2023-04-12,Crisis
2023-04-13,Crisis
2023-04-18,Crisis
2023-04-19,Crisis
2023-04-20,Crisis
2023-04-21,Crisis
2023-04-24,Crisis
2023-04-25,Crisis
2023-04-26,Crisis
2023-04-27,Crisis
2023-04-28,Crisis
2023-05-03,Crisis
2023-05-04,Crisis
2023-05-05,Crisis
2023-05-08,Crisis
2023-05-09,Crisis
2023-05-10,Crisis
2023-05-11,Crisis
2023-05-12,Crisis
2023-05-15,Bull
2023-05-16,Bull
2023-05-17,Bull
2023-05-18,Bull
2023-05-19,Bull
2023-05-22,Bull
2023-05-23,Bull
2023-05-24,Bull
2023-05-25,Bull
2023-05-26,Bull
2023-05-31,Bull
2023-06-01,Bull
2023-06-02,Bull
2023-06-05,Bull
2023-06-06,Bull
2023-06-07,Bull
2023-06-08,Bull
2023-06-09,Bull
2023-06-12,Bull
2023-06-13,Bull
2023-06-14,Bull
2023-06-15,Bull
2023-06-16,Bull
2023-06-21,Bull
2023-06-22,Bull
2023-06-23,Bull
2023-06-26,Bull
2023-06-27,Bull
2023-06-28,Bull
2023-07-03,Bull
2023-07-06,Bull
2023-07-07,Bull
2023-07-10,Bull
2023-07-11,Bull
2023-07-12,Bull
2023-07-13,Bull
2023-07-14,Bull
2023-07-17,Bull
2023-07-18,Bull
2023-07-19,Bull
2023-07-20,Bull
2023-07-21,Bull
2023-07-24,Bull
2023-07-25,Bull
2023-07-26,Bull
2023-07-27,Bull
2023-07-28,Bull
2023-07-31,Bull
2023-08-01,Bull
2023-08-02,Bull
2023-08-03,Bull
2023-08-04,Bull
2023-08-07,Bull
2023-08-08,Bull
2023-08-09,Bull
2023-08-10,Bull
2023-08-11,Bull
2023-08-14,Bull
2023-08-17,Bull
2023-08-18,Bull
2023-08-21,Bull
2023-08-22,Bull
2023-08-23,Bull
2023-08-24,Bull
2023-08-25,Bull
2023-08-28,Bull
2023-08-29,Bull
2023-08-30,Bull
2023-08-31,Bull
2023-09-01,Bull
2023-09-06,Bull
2023-09-07,Bull
2023-09-08,Bull
2023-09-11,Bull
2023-09-12,Bull
2023-09-13,Bull
2023-09-14,Bull
2023-09-15,Bull
2023-09-18,Bull
2023-09-21,Bull
2023-09-22,Bull
2023-09-25,Bull
2023-09-26,Bull
2023-09-27,Bull
2023-09-28,Bull
2023-09-29,Bull
2023-10-04,Bull
2023-10-05,Bull
2023-10-06,Bull
2023-10-09,Bull
2023-10-10,Bull
2023-10-11,Bull
2023-10-12,Bull
2023-10-13,Bull
2023-10-16,Bull
2023-10-17,Bull
2023-10-18,Bull
2023-10-19,Bear
2023-10-20,Bear
2023-10-23,Bear
2023-10-26,Bear
2023-10-27,Bear
2023-10-30,Bear
2023-10-31,Bear
2023-11-01,Bear
2023-11-02,Bear
2023-11-03,Bear
2023-11-06,Bear
2023-11-07,Bear
2023-11-08,Bear
2023-11-09,Bear
2023-11-10,Bear
2023-11-13,Bear
2023-11-16,Bear
2023-11-17,Bear
2023-11-20,Bear
2023-11-21,Bear
2023-11-22,Bear
2023-11-29,Bull
2023-11-30,Bull
2023-12-01,Bull
2023-12-04,Bull
2023-12-05,Bull
2023-12-06,Bull
2023-12-07,Bull
2023-12-08,Bear
2023-12-11,Bear
2023-12-12,Bear
2023-12-13,Bear
2023-12-14,Bear
2023-12-15,Bear
2023-12-18,Bear
2023-12-19,Bear
2023-12-20,Bear
2023-12-21,Bear
2023-12-22,Bear
2023-12-26,Bear
2023-12-27,Bear
2023-12-28,Bear
2023-12-29,Bear
